Trait	Intercept	Intercept_SE	GC	GC_SE	PValue
a8f	r10f	0.9685	0.0088	0.1721	0.0525	0.001
a8f	r4f	0.9991	0.0061	0.1792	0.0414	1.4682e-05
a8f	r5f	1.0585	0.0097	-0.1475	0.033	7.6634e-06
a8f	r8f	0.9991	0.0073	0.0224	0.0381	0.5569
a8f	r9f	1.0092	0.0063	0.0959	0.0574	0.0946
a8m	a8f	1.0459	0.0111	0.9323	0.0205	0.0
a8m	a8m	1.0377	0.0142	1.0	3.5374e-07	0.0
a8m	a9m	1.0065	0.0081	0.3697	0.0412	2.6721e-19
a8m	ADr1um	0.9925	0.0265	-0.3033	0.1964	0.1226
a8m	bm1m	1.0081	0.0064	0.016	0.0749	0.8308
a8m	bm2m	1.0001	0.0076	0.036	0.0813	0.658
a8m	bm4m	0.9943	0.0063	-0.0505	0.0812	0.534
a8m	bm5m	1.0026	0.0071	-0.0193	0.0463	0.6767
a8m	bm6m	0.9988	0.0076	0.0216	0.0451	0.6318
a8m	bm7m	1.005	0.0071	0.0306	0.0479	0.5222
a8m	bm8m	1.0104	0.0064	-0.0055	0.0675	0.9349
a8m	ch1m	0.9998	0.0067	-0.2263	0.0748	0.0025
a8m	ch4m	0.9968	0.0061	-0.1585	0.0768	0.0392
a8m	ch5m	1.0055	0.0062	-0.313	0.1058	0.0031
a8m	ch6m	0.9893	0.0061	-0.1727	0.0718	0.0162
a8m	l1m	1.0827	0.0355	-0.515	0.0229	3.7181e-112
a8m	l2m	1.0643	0.0286	-0.0144	0.0305	0.6373
a8m	l3m	1.1036	0.0314	0.0128	0.0264	0.6264
a8m	l4m	1.0503	0.0337	0.5573	0.0343	2.2164e-59
a8m	l5m	1.0766	0.0243	0.1914	0.0303	2.7046e-10
a8m	r10m	1.0002	0.0085	0.0244	0.0743	0.7423
a8m	r4m	1.0185	0.0064	0.1718	0.0497	0.0005
a8m	r5m	1.0067	0.0114	-0.0432	0.0268	0.1079
a8m	r8m	1.0045	0.0073	0.0971	0.0377	0.01
a8m	r9m	0.9937	0.0063	0.1559	0.0684	0.0226
a9f	a9f	1.0585	0.0087	1.0	1.7944e-06	0.0
a9f	ADr1uf	1.0232	0.041	NA	NA	NA
a9f	bm1f	1.0062	0.0082	-0.2489	0.1779	0.1617
a9f	bm2f	0.9943	0.0083	0.1195	0.147	0.4162
a9f	bm4f	1.0116	0.0072	0.2297	0.1908	0.2286
a9f	bm5f	1.0057	0.0089	0.0283	0.1023	0.7819
a9f	bm6f	1.0019	0.0101	0.081	0.106	0.4446
a9f	bm7f	0.9967	0.0102	0.0254	0.1037	0.8069
a9f	bm8f	1.0056	0.0083	-0.0022	0.1185	0.985
a9f	ch1f	0.9997	0.007	-0.2653	0.1541	0.085
a9f	ch4f	1.0053	0.0074	-0.8812	0.2865	0.0021
a9f	ch5f	0.9957	0.0077	-0.2383	0.1668	0.1532
a9f	ch6f	1.0027	0.0075	-0.3028	0.1562	0.0525
a9f	l1f	1.1348	0.0413	-0.2435	0.0578	2.5378e-05
a9f	l2f	1.1014	0.0399	0.1393	0.0572	0.0148
a9f	l3f	1.1393	0.0421	0.1051	0.0536	0.0498
a9f	l4f	1.1112	0.0383	0.2926	0.0618	2.2079e-06
a9f	l5f	1.1196	0.0394	0.1884	0.0575	0.0011
a9f	r10f	0.9705	0.0089	0.6915	0.1092	2.4458e-10
a9f	r4f	1.	0.0076	0.5512	0.1003	3.9370e-08
a9f	r5f	1.0682	0.0114	-0.1203	0.0784	0.1249
a9f	r8f	0.9973	0.0083	0.4531	0.0896	4.3294e-07
a9f	r9f	1.0098	0.0075	0.1666	0.1365	0.2225
a9m	a9f	1.0583	0.0087	1.2019	0.1304	3.0351e-20
a9m	a9m	1.0063	0.0082	1.0	3.9081e-07	0.0
a9m	ADr1um	0.9986	0.0371	-0.5473	0.531	0.3027
a9m	bm1m	1.0137	0.0075	0.1276	0.0972	0.1894
a9m	bm2m	0.9989	0.0086	0.02	0.0869	0.8177
a9m	bm4m	0.9972	0.0079	0.1494	0.1289	0.2463
a9m	bm5m	1.0047	0.0081	-0.083	0.064	0.195
a9m	bm6m	0.9964	0.0091	0.0596	0.0694	0.391
a9m	bm7m	1.0019	0.0093	0.0714	0.0693	0.3025
a9m	bm8m	1.0143	0.0074	-0.0085	0.1019	0.9333
a9m	ch1m	0.9966	0.0077	-0.3657	0.1171	0.0018
a9m	ch4m	0.9977	0.0068	-0.0497	0.1123	0.6579
a9m	ch5m	1.0053	0.0073	-0.4365	0.1451	0.0026
a9m	ch6m	0.9869	0.0079	-0.4879	0.1042	2.8542e-06
a9m	l1m	1.1107	0.0433	-0.2525	0.0324	6.7884e-15
a9m	l2m	1.0829	0.0381	0.0635	0.0365	0.0817
a9m	l3m	1.1281	0.0418	0.0631	0.0334	0.0591
a9m	l4m	1.0829	0.0405	0.2358	0.0338	3.0204e-12
a9m	l5m	1.0868	0.0311	0.1041	0.0376	0.0056
a9m	r10m	1.0001	0.0086	0.589	0.1062	2.8733e-08
a9m	r4m	1.0152	0.0078	0.322	0.0802	5.9842e-05
a9m	r5m	1.0295	0.0133	0.1855	0.0413	6.9672e-06
a9m	r8m	1.0055	0.0086	0.4327	0.0493	1.5637e-18
a9m	r9m	0.9992	0.0082	0.1589	0.081	0.0498
ADr1uf	ADr1uf	1.0059	0.0307	1.0	2.2491e-05	0.0
ADr1uf	bm1f	1.0058	0.0068	0.3492	0.4283	0.4149
ADr1uf	bm2f	0.9957	0.007	0.099	0.2682	0.712
ADr1uf	bm4f	1.007	0.0068	-0.3236	0.4186	0.4395
ADr1uf	bm5f	1.0045	0.0076	0.0625	0.2132	0.7693
ADr1uf	bm6f	1.0097	0.0087	0.2922	0.3055	0.3388
ADr1uf	bm7f	1.0086	0.0082	0.1483	0.2592	0.5672
ADr1uf	bm8f	1.0024	0.0067	-0.2033	0.255	0.4253
ADr1uf	ch1f	0.9977	0.0067	0.5024	0.677	0.458
ADr1uf	ch4f	0.9972	0.0066	0.3428	0.5477	0.5314
ADr1uf	ch5f	0.9939	0.0063	0.6343	0.835	0.4475
ADr1uf	ch6f	1.0028	0.0065	0.7703	0.7494	0.304
ADr1uf	l1f	1.2548	0.1037	0.5327	0.3968	0.1795
ADr1uf	l2f	1.1508	0.1255	-0.3141	0.305	0.3031
ADr1uf	l3f	1.1862	0.1506	-0.3117	0.3343	0.3511
ADr1uf	l4f	1.1024	0.0721	-0.5265	0.3819	0.168
ADr1uf	l5f	1.1824	0.1485	-0.504	0.4545	0.2675
ADr1uf	r10f	0.9687	0.0089	NA	NA	NA
ADr1uf	r4f	1.0002	0.0064	-0.6888	0.5427	0.2043
ADr1uf	r5f	1.0572	0.0099	0.1395	0.3711	0.7071
ADr1uf	r8f	0.9985	0.0073	0.3478	0.2741	0.2044
ADr1uf	r9f	1.0091	0.0063	-0.8596	0.6362	0.1766
ADr1um	ADr1uf	1.0059	0.0307	1.0047	0.7817	0.1987
ADr1um	ADr1um	0.9925	0.0265	0.9999	0.0002	0.0
ADr1um	bm1m	1.0074	0.0063	-0.1641	0.2931	0.5755
ADr1um	bm2m	0.9999	0.0077	-0.0649	0.3	0.8287
ADr1um	bm4m	0.9942	0.0062	-0.0149	0.3298	0.9641
ADr1um	bm5m	1.0037	0.0072	0.2746	0.2731	0.3147
ADr1um	bm6m	0.9989	0.0079	-0.0346	0.1822	0.8493
ADr1um	bm7m	1.0042	0.0074	-0.226	0.2248	0.3147
ADr1um	bm8m	1.0096	0.0064	0.167	0.3166	0.5979
ADr1um	ch1m	0.9976	0.0067	0.4245	0.4034	0.2927
ADr1um	ch4m	0.9965	0.0062	0.3903	0.3927	0.3203
ADr1um	ch5m	1.0043	0.0062	0.9189	0.7377	0.2129
ADr1um	ch6m	0.9893	0.0065	0.2322	0.3643	0.5239
ADr1um	l1m	1.2638	0.1219	0.5688	0.4464	0.2026
ADr1um	l2m	1.1531	0.1204	-0.2902	0.2869	0.3118
ADr1um	l3m	1.1757	0.1248	-0.2549	0.2943	0.3865
ADr1um	l4m	1.1012	0.0876	-0.2668	0.2602	0.3052
ADr1um	l5m	1.1415	0.1143	-0.4415	0.4252	0.2991
ADr1um	r10m	1.0003	0.0085	-0.6279	0.3129	0.0448
ADr1um	r4m	1.0181	0.0065	0.2208	0.2691	0.4119
ADr1um	r5m	1.007	0.0115	0.1634	0.1587	0.3033
ADr1um	r8m	1.0053	0.0075	-0.0131	0.1861	0.944
ADr1um	r9m	0.9938	0.0062	-0.4742	0.3912	0.2255
bm1f	bm1f	1.0066	0.0067	0.9999	9.7692e-05	0.0
bm1f	bm2f	0.9951	0.0068	0.0539	0.1482	0.7164
bm1f	bm4f	1.0062	0.0069	-0.0641	0.2038	0.7533
bm1f	bm5f	1.0051	0.0076	0.0068	0.1073	0.9493
bm1f	bm6f	1.0084	0.0086	-0.1154	0.1143	0.3126
bm1f	bm7f	1.0081	0.0082	-0.0888	0.119	0.4556
bm1f	bm8f	1.0018	0.0067	-0.058	0.1421	0.6831
bm1f	ch1f	0.9965	0.007	0.0557	0.1492	0.7088
bm1f	ch4f	0.9978	0.0066	0.1439	0.2295	0.5307
bm1f	ch5f	0.9934	0.0062	-0.058	0.185	0.7537
bm1f	ch6f	1.0018	0.0064	0.0498	0.1983	0.8016
bm1f	l1f	1.1045	0.0349	-0.0209	0.0565	0.7116
bm1f	l2f	1.0703	0.0308	-0.0164	0.0677	0.8088
bm1f	l3f	1.1098	0.0349	-0.0297	0.0648	0.6464
bm1f	l4f	1.0783	0.0285	0.0089	0.0558	0.8726
bm1f	l5f	1.0869	0.0303	-0.0089	0.064	0.8897
bm1f	r10f	0.9687	0.009	-0.1166	0.1677	0.4871
bm1f	r4f	1.0008	0.0062	-0.1003	0.1126	0.3735
bm1f	r5f	1.0579	0.0102	0.0431	0.0883	0.6259
bm1f	r8f	0.9996	0.0075	0.0006	0.1043	0.995
bm1f	r9f	1.01	0.0063	0.0515	0.1384	0.7099
bm1m	bm1f	1.0066	0.0067	0.7194	0.2146	0.0008
bm1m	bm1m	1.0081	0.0064	1.0	1.6845e-06	0.0
bm1m	bm2m	1.0001	0.0077	-0.6047	0.1738	0.0005
bm1m	bm4m	0.9944	0.0063	-0.1188	0.1662	0.4748
bm1m	bm5m	1.0026	0.0071	0.0693	0.0996	0.4864
bm1m	bm6m	0.9989	0.0076	-0.1057	0.1034	0.3063
bm1m	bm7m	1.0051	0.0071	-0.1458	0.1079	0.1769
bm1m	bm8m	1.0106	0.0064	-0.0469	0.1619	0.7719
bm1m	ch1m	0.9956	0.0066	0.0211	0.181	0.9074
bm1m	ch4m	0.9969	0.0063	-0.1303	0.1558	0.4031
bm1m	ch5m	1.0043	0.0061	0.0805	0.2095	0.701
bm1m	ch6m	0.9881	0.0068	-0.1193	0.1626	0.463
bm1m	l1m	1.0793	0.0345	-0.0259	0.051	0.6117
bm1m	l2m	1.0652	0.0294	0.0218	0.0597	0.7148
bm1m	l3m	1.1057	0.0334	0.0269	0.0526	0.6099
bm1m	l4m	1.05	0.0326	0.0005	0.0554	0.9934
bm1m	l5m	1.0789	0.0257	0.0266	0.057	0.641
bm1m	r10m	1.	0.0083	0.7249	0.2895	0.0123
bm1m	r4m	1.0178	0.0064	-0.1684	0.1331	0.2059
bm1m	r5m	1.005	0.0115	0.0028	0.0588	0.9617
bm1m	r8m	1.0046	0.0073	0.0993	0.0881	0.2597
bm1m	r9m	0.9934	0.0063	0.2658	0.1364	0.0514
bm2f	bm2f	0.9951	0.0068	1.0	1.0433e-05	0.0
bm2f	bm4f	1.0062	0.0069	0.188	0.1433	0.1893
bm2f	bm5f	1.0051	0.0076	-0.0035	0.0879	0.9686
bm2f	bm6f	1.0084	0.0086	-0.2522	0.0916	0.0059
bm2f	bm7f	1.0081	0.0082	-0.2363	0.084	0.0049
bm2f	bm8f	1.0018	0.0067	-0.3275	0.1004	0.0011
bm2f	ch1f	0.9965	0.007	0.0535	0.1224	0.6621
bm2f	ch4f	0.9978	0.0066	-0.0285	0.1806	0.8747
bm2f	ch5f	0.9934	0.0062	-0.0769	0.1497	0.6075
bm2f	ch6f	1.0018	0.0064	0.108	0.1355	0.4254
bm2f	l1f	1.1045	0.0349	-0.0027	0.0434	0.9506
bm2f	l2f	1.0703	0.0308	-0.0404	0.0516	0.4345
bm2f	l3f	1.1098	0.0349	-0.0152	0.049	0.7573
bm2f	l4f	1.0783	0.0285	0.006	0.0453	0.8938
bm2f	l5f	1.0869	0.0303	-0.005	0.0495	0.9192
bm2f	r10f	0.9687	0.009	0.0048	0.0983	0.961
bm2f	r4f	1.0008	0.0062	-0.0041	0.081	0.9596
bm2f	r5f	1.0579	0.0102	0.0185	0.0713	0.7952
bm2f	r8f	0.9996	0.0075	-0.0066	0.0741	0.9295
bm2f	r9f	1.01	0.0063	-0.0679	0.1124	0.546
bm2m	bm2f	0.9951	0.0068	0.5459	0.143	0.0001
bm2m	bm2m	1.0001	0.0077	1.0	2.5793e-06	0.0
bm2m	bm4m	0.9944	0.0063	0.0267	0.1723	0.8769
bm2m	bm5m	1.0026	0.0071	0.1439	0.0999	0.1498
bm2m	bm6m	0.9989	0.0076	-0.0547	0.1038	0.5977
bm2m	bm7m	1.0051	0.0071	-0.0527	0.1158	0.6492
bm2m	bm8m	1.0106	0.0064	-0.2713	0.1511	0.0725
bm2m	ch1m	0.9956	0.0066	0.1745	0.1554	0.2615
bm2m	ch4m	0.9969	0.0063	0.0724	0.1762	0.6811
bm2m	ch5m	1.0043	0.0061	0.0321	0.202	0.8738
bm2m	ch6m	0.9881	0.0068	0.0901	0.143	0.5288
bm2m	l1m	1.0793	0.0345	0.0041	0.0493	0.9342
bm2m	l2m	1.0652	0.0294	-0.0365	0.0597	0.5405
bm2m	l3m	1.1057	0.0334	-0.02	0.0478	0.6756
bm2m	l4m	1.05	0.0326	0.0114	0.0682	0.8675
bm2m	l5m	1.0789	0.0257	-0.0931	0.0567	0.1002
bm2m	r10m	1.	0.0083	-0.0195	0.1805	0.9141
bm2m	r4m	1.0178	0.0064	-0.1137	0.1279	0.3738
bm2m	r5m	1.005	0.0115	0.0384	0.0568	0.4985
bm2m	r8m	1.0046	0.0073	0.0928	0.0939	0.3228
bm2m	r9m	0.9934	0.0063	0.117	0.1573	0.4569
bm4f	bm4f	1.0062	0.0069	1.0	6.1588e-06	0.0
bm4f	bm5f	1.0051	0.0076	-0.0041	0.1052	0.9691
bm4f	bm6f	1.0084	0.0086	0.0648	0.1202	0.5898
bm4f	bm7f	1.0081	0.0082	0.0867	0.1206	0.4722
bm4f	bm8f	1.0018	0.0067	-0.0606	0.1233	0.6232
bm4f	ch1f	0.9965	0.007	0.1306	0.1562	0.4033
bm4f	ch4f	0.9978	0.0066	0.0158	0.2309	0.9453
bm4f	ch5f	0.9934	0.0062	-0.0518	0.1953	0.7907
bm4f	ch6f	1.0018	0.0064	0.0753	0.1972	0.7027
bm4f	l1f	1.1045	0.0349	0.0517	0.0618	0.4033
bm4f	l2f	1.0703	0.0308	0.0135	0.0545	0.8038
bm4f	l3f	1.1098	0.0349	0.0108	0.0538	0.8409
bm4f	l4f	1.0783	0.0285	-0.0674	0.0621	0.2778
bm4f	l5f	1.0869	0.0303	-0.025	0.0541	0.6435
bm4f	r10f	0.9687	0.009	-0.0196	0.1701	0.908
bm4f	r4f	1.0008	0.0062	0.0052	0.112	0.9633
bm4f	r5f	1.0579	0.0102	-0.0538	0.0826	0.515
bm4f	r8f	0.9996	0.0075	-0.0608	0.0899	0.4991
bm4f	r9f	1.01	0.0063	-0.1406	0.1473	0.3399
bm4m	bm4f	1.0062	0.0069	0.732	0.2332	0.0017
bm4m	bm4m	0.9944	0.0063	1.0	1.1851e-05	0.0
bm4m	bm5m	1.0026	0.0071	0.0196	0.118	0.8683
bm4m	bm6m	0.9989	0.0076	0.0594	0.1274	0.6412
bm4m	bm7m	1.0051	0.0071	0.1616	0.1286	0.209
bm4m	bm8m	1.0106	0.0064	-0.056	0.1787	0.754
bm4m	ch1m	0.9956	0.0066	-0.3873	0.2012	0.0543
bm4m	ch4m	0.9969	0.0063	0.0442	0.192	0.8181
bm4m	ch5m	1.0043	0.0061	-0.5455	0.2568	0.0336
bm4m	ch6m	0.9881	0.0068	-0.433	0.2113	0.0404
bm4m	l1m	1.0793	0.0345	-0.0096	0.0549	0.8618
bm4m	l2m	1.0652	0.0294	0.0234	0.0649	0.7187
bm4m	l3m	1.1057	0.0334	0.025	0.0655	0.7034
bm4m	l4m	1.05	0.0326	-0.0197	0.0631	0.7545
bm4m	l5m	1.0789	0.0257	0.0554	0.0698	0.4274
bm4m	r10m	1.	0.0083	0.2078	0.2104	0.3232
bm4m	r4m	1.0178	0.0064	-0.0389	0.1402	0.7814
bm4m	r5m	1.005	0.0115	0.1068	0.079	0.1767
bm4m	r8m	1.0046	0.0073	0.0832	0.107	0.4372
bm4m	r9m	0.9934	0.0063	-0.0161	0.165	0.9224
bm5f	bm5f	1.0051	0.0076	1.0	1.7269e-06	0.0
bm5f	bm6f	1.0084	0.0086	0.2197	0.0722	0.0023
bm5f	bm7f	1.0081	0.0082	0.2431	0.0704	0.0006
bm5f	bm8f	1.0018	0.0067	-0.1967	0.0813	0.0156
bm5f	ch1f	0.9965	0.007	-0.0646	0.0942	0.4928
bm5f	ch4f	0.9978	0.0066	0.1317	0.1171	0.2608
bm5f	ch5f	0.9934	0.0062	-0.0957	0.1269	0.4507
bm5f	ch6f	1.0018	0.0064	-0.1373	0.1048	0.1903
bm5f	l1f	1.1045	0.0349	-0.0141	0.0348	0.6861
bm5f	l2f	1.0703	0.0308	0.0009	0.0368	0.9814
bm5f	l3f	1.1098	0.0349	-0.016	0.036	0.6564
bm5f	l4f	1.0783	0.0285	-0.0473	0.034	0.1644
bm5f	l5f	1.0869	0.0303	-0.0059	0.0381	0.876
bm5f	r10f	0.9687	0.009	0.0119	0.0852	0.8886
bm5f	r4f	1.0008	0.0062	0.1414	0.0657	0.0313
bm5f	r5f	1.0579	0.0102	-0.0071	0.0505	0.8878
bm5f	r8f	0.9996	0.0075	0.0531	0.0545	0.3303
bm5f	r9f	1.01	0.0063	-0.0615	0.0848	0.4684
bm5m	bm5f	1.0051	0.0076	0.9279	0.0743	9.2279e-36
bm5m	bm5m	1.0026	0.0071	1.0	1.5622e-06	0.0
bm5m	bm6m	0.9989	0.0076	0.4329	0.0847	3.2155e-07
bm5m	bm7m	1.0051	0.0071	0.3851	0.0876	1.1102e-05
bm5m	bm8m	1.0106	0.0064	0.0158	0.1251	0.8996
bm5m	ch1m	0.9956	0.0066	-0.2146	0.1108	0.0527
bm5m	ch4m	0.9969	0.0063	-0.0188	0.1146	0.8696
bm5m	ch5m	1.0043	0.0061	-0.331	0.1396	0.0178
bm5m	ch6m	0.9881	0.0068	-0.111	0.1055	0.2931
bm5m	l1m	1.0793	0.0345	0.0595	0.0311	0.0558
bm5m	l2m	1.0652	0.0294	0.0374	0.0448	0.4048
bm5m	l3m	1.1057	0.0334	0.0559	0.0429	0.193
bm5m	l4m	1.05	0.0326	-0.0214	0.038	0.5731
bm5m	l5m	1.0789	0.0257	0.0166	0.0489	0.734
bm5m	r10m	1.	0.0083	0.0671	0.1356	0.6208
bm5m	r4m	1.0178	0.0064	0.2158	0.081	0.0077
bm5m	r5m	1.005	0.0115	-0.0731	0.0435	0.0925
bm5m	r8m	1.0046	0.0073	0.0302	0.0614	0.6228
bm5m	r9m	0.9934	0.0063	-0.046	0.0888	0.604
bm6f	bm6f	1.0084	0.0086	1.0	1.9139e-06	0.0
bm6f	bm7f	1.0081	0.0082	0.9901	0.0109	0.0
bm6f	bm8f	1.0018	0.0067	0.1054	0.0837	0.2077
bm6f	ch1f	0.9965	0.007	-0.1809	0.1066	0.0899
bm6f	ch4f	0.9978	0.0066	-0.0222	0.1296	0.8642
bm6f	ch5f	0.9934	0.0062	0.0751	0.1126	0.505
bm6f	ch6f	1.0018	0.0064	-0.1567	0.1297	0.2269
bm6f	l1f	1.1045	0.0349	-0.0356	0.0336	0.2892
bm6f	l2f	1.0703	0.0308	-0.0671	0.0356	0.0595
bm6f	l3f	1.1098	0.0349	-0.0781	0.0355	0.0277
bm6f	l4f	1.0783	0.0285	-0.0151	0.0347	0.6635
bm6f	l5f	1.0869	0.0303	-0.0475	0.0369	0.1973
bm6f	r10f	0.9687	0.009	0.043	0.0896	0.6311
bm6f	r4f	1.0008	0.0062	0.1891	0.0776	0.0148
bm6f	r5f	1.0579	0.0102	-0.0456	0.0493	0.3546
bm6f	r8f	0.9996	0.0075	0.003	0.0576	0.9578
bm6f	r9f	1.01	0.0063	0.0276	0.0852	0.7458
bm6m	bm6f	1.0084	0.0086	0.979	0.0898	1.0829e-27
bm6m	bm6m	0.9989	0.0076	1.0	2.6552e-06	0.0
bm6m	bm7m	1.0051	0.0071	0.983	0.0114	0.0
bm6m	bm8m	1.0106	0.0064	-0.0062	0.1154	0.9574
bm6m	ch1m	0.9956	0.0066	-0.3008	0.1021	0.0032
bm6m	ch4m	0.9969	0.0063	-0.0923	0.1053	0.3806
bm6m	ch5m	1.0043	0.0061	-0.452	0.1505	0.0027
bm6m	ch6m	0.9881	0.0068	-0.1568	0.1022	0.125
bm6m	l1m	1.0793	0.0345	-0.0231	0.0311	0.4566
bm6m	l2m	1.0652	0.0294	0.0625	0.044	0.1562
bm6m	l3m	1.1057	0.0334	0.0328	0.0384	0.3929
bm6m	l4m	1.05	0.0326	-0.03	0.034	0.3765
bm6m	l5m	1.0789	0.0257	0.0313	0.0417	0.4526
bm6m	r10m	1.	0.0083	0.1767	0.127	0.1643
bm6m	r4m	1.0178	0.0064	-0.04	0.0931	0.6673
bm6m	r5m	1.005	0.0115	-0.0677	0.0428	0.1136
bm6m	r8m	1.0046	0.0073	-0.0085	0.0591	0.8856
bm6m	r9m	0.9934	0.0063	0.0275	0.095	0.7722
bm7f	bm7f	1.0081	0.0082	1.0	4.6722e-06	0.0
bm7f	bm8f	1.0018	0.0067	0.0258	0.0852	0.7622
bm7f	ch1f	0.9965	0.007	-0.1568	0.1028	0.1272
bm7f	ch4f	0.9978	0.0066	-0.1377	0.1306	0.2916
bm7f	ch5f	0.9934	0.0062	0.1391	0.1111	0.2106
bm7f	ch6f	1.0018	0.0064	-0.1489	0.12	0.2146
bm7f	l1f	1.1045	0.0349	-0.0325	0.034	0.3396
bm7f	l2f	1.0703	0.0308	-0.0486	0.0341	0.1539
bm7f	l3f	1.1098	0.0349	-0.0599	0.0351	0.0877
bm7f	l4f	1.0783	0.0285	-0.028	0.0328	0.3939
bm7f	l5f	1.0869	0.0303	-0.0313	0.0342	0.3605
bm7f	r10f	0.9687	0.009	0.0708	0.0852	0.4062
bm7f	r4f	1.0008	0.0062	0.159	0.0759	0.036
bm7f	r5f	1.0579	0.0102	-0.04	0.0497	0.421
bm7f	r8f	0.9996	0.0075	-0.0365	0.0579	0.5289
bm7f	r9f	1.01	0.0063	-0.0002	0.0869	0.9985
bm7m	bm7f	1.0081	0.0082	1.0242	0.0909	1.9521e-29
bm7m	bm7m	1.0051	0.0071	1.0	4.7995e-06	0.0
bm7m	bm8m	1.0106	0.0064	0.0212	0.1197	0.8593
bm7m	ch1m	0.9956	0.0066	-0.3207	0.1073	0.0028
bm7m	ch4m	0.9969	0.0063	-0.1174	0.1123	0.2959
bm7m	ch5m	1.0043	0.0061	-0.3571	0.1541	0.0205
bm7m	ch6m	0.9881	0.0068	-0.1744	0.1024	0.0886
bm7m	l1m	1.0793	0.0345	-0.04	0.0323	0.2158
bm7m	l2m	1.0652	0.0294	0.0692	0.0438	0.1142
bm7m	l3m	1.1057	0.0334	0.0374	0.0378	0.3224
bm7m	l4m	1.05	0.0326	-0.0254	0.0363	0.483
bm7m	l5m	1.0789	0.0257	0.065	0.0439	0.1388
bm7m	r10m	1.	0.0083	0.1045	0.1327	0.4311
bm7m	r4m	1.0178	0.0064	-0.0912	0.0926	0.3246
bm7m	r5m	1.005	0.0115	-0.06	0.0445	0.1773
bm7m	r8m	1.0046	0.0073	-0.0176	0.0589	0.7654
bm7m	r9m	0.9934	0.0063	0.0968	0.1011	0.3384
bm8f	bm8f	1.0018	0.0067	1.0	3.5072e-07	0.0
bm8f	ch1f	0.9965	0.007	-0.0654	0.1235	0.5965
bm8f	ch4f	0.9978	0.0066	-0.1924	0.153	0.2085
bm8f	ch5f	0.9934	0.0062	-0.0165	0.1322	0.9006
bm8f	ch6f	1.0018	0.0064	-0.0964	0.1413	0.4951
bm8f	l1f	1.1045	0.0349	-0.0134	0.0383	0.7268
bm8f	l2f	1.0703	0.0308	0.0092	0.0415	0.8244
bm8f	l3f	1.1098	0.0349	-0.005	0.0391	0.8986
bm8f	l4f	1.0783	0.0285	0.0328	0.0391	0.4016
bm8f	l5f	1.0869	0.0303	0.0103	0.0419	0.806
bm8f	r10f	0.9687	0.009	-0.0607	0.1012	0.5488
bm8f	r4f	1.0008	0.0062	0.0176	0.0702	0.8018
bm8f	r5f	1.0579	0.0102	-0.0606	0.058	0.2968
bm8f	r8f	0.9996	0.0075	-0.0521	0.0616	0.3974
bm8f	r9f	1.01	0.0063	0.0852	0.0872	0.3286
bm8m	bm8f	1.0018	0.0067	1.0299	0.1545	2.6471e-11
bm8m	bm8m	1.0106	0.0064	1.0	4.0620e-07	0.0
bm8m	ch1m	0.9956	0.0066	-0.1405	0.1817	0.4394
bm8m	ch4m	0.9969	0.0063	0.0612	0.1677	0.7154
bm8m	ch5m	1.0043	0.0061	0.2096	0.2278	0.3577
bm8m	ch6m	0.9881	0.0068	0.0732	0.1778	0.6804
bm8m	l1m	1.0793	0.0345	-0.0121	0.0598	0.8402
bm8m	l2m	1.0652	0.0294	0.0285	0.0569	0.6164
bm8m	l3m	1.1057	0.0334	0.0336	0.0571	0.5563
bm8m	l4m	1.05	0.0326	0.0231	0.0554	0.6759
bm8m	l5m	1.0789	0.0257	0.0675	0.0622	0.2778
bm8m	r10m	1.	0.0083	-0.0236	0.2002	0.9062
bm8m	r4m	1.0178	0.0064	-0.0568	0.128	0.6574
bm8m	r5m	1.005	0.0115	-0.1109	0.065	0.0881
bm8m	r8m	1.0046	0.0073	-0.1459	0.0874	0.095
bm8m	r9m	0.9934	0.0063	0.0408	0.1417	0.7737
ch1f	ch1f	0.9982	0.0067	1.0	9.1610e-06	0.0
ch1f	ch4f	0.9977	0.0066	0.4749	0.1846	0.0101
ch1f	ch5f	0.994	0.0062	1.1411	0.1499	2.7380e-14
ch1f	ch6f	1.0038	0.0066	1.2026	0.1395	6.6631e-18
ch1f	l1f	1.1185	0.0387	0.2439	0.0495	8.4451e-07
ch1f	l2f	1.0826	0.0333	-0.0968	0.0512	0.0587
ch1f	l3f	1.1213	0.035	-0.0033	0.0468	0.9433
ch1f	l4f	1.0934	0.0345	-0.19	0.0543	0.0005
ch1f	l5f	1.1006	0.0337	-0.1184	0.0551	0.0316
ch1f	r10f	0.9701	0.009	0.1456	0.1323	0.2709
ch1f	r4f	1.0004	0.0066	-0.208	0.1006	0.0386
ch1f	r5f	1.0587	0.0101	0.159	0.0687	0.0207
ch1f	r8f	0.9971	0.0079	0.0465	0.0737	0.5277
ch1f	r9f	1.0101	0.0067	-0.1738	0.1229	0.1572
ch1m	ch1f	0.9981	0.0067	0.9812	0.1961	5.5993e-07
ch1m	ch1m	0.9998	0.0066	1.0	1.9345e-05	0.0
ch1m	ch4m	0.9962	0.0059	-0.2009	0.1895	0.289
ch1m	ch5m	1.0056	0.0062	1.2711	0.224	1.3914e-08
ch1m	ch6m	0.9883	0.0061	1.131	0.1142	3.9879e-23
ch1m	l1m	1.0946	0.0387	0.1141	0.0556	0.04
ch1m	l2m	1.0678	0.0315	-0.0784	0.0734	0.2857
