CODE NOM_NUM_PLEIO_SUBSETS NOM_NUM_PLEIO_SUBSETS_EMP_P NOM_VERBOSE MARG_NUM_PLEIO_SUBSETS MARG_NUM_PLEIO_SUBSETS_EMP_P MARG_VERBOSE SMALLEST_PLEIO_P_EMP_P
144m:a30m 32 0.000999 MORE 43 0.000999 MORE 0.000999
144m:a7m 18 0.000999 MORE 24 0.000999 MORE 0.000999
144m:a8m 49 0.000999 MORE 54 0.000999 MORE 0.000999
144m:a9m 15 0.000999 MORE 17 0.002 MORE 0.000999
144m:ADr1um 0 1 NOT 3 0.129 NOT 0.298
144m:bm1m 3 0.0579 NOT 9 0.019 MORE 0.0739
144m:bm2m 2 0.0939 NOT 7 0.031 MORE 0.168
144m:bm4m 1 0.217 NOT 1 0.379 NOT 0.174
144m:bm5m 1 0.182 NOT 5 0.045 MORE 0.137
144m:bm6m 15 0.000999 MORE 19 0.000999 MORE 0.000999
144m:bm7m 17 0.000999 MORE 22 0.000999 MORE 0.000999
144m:bm8m 5 0.014 MORE 8 0.017 MORE 0.0539
144m:ch1m 1 0.187 NOT 3 0.136 NOT 0.0849
144m:ch4m 3 0.049 MORE 4 0.0889 NOT 0.0989
144m:ch5m 2 0.0749 NOT 4 0.0819 NOT 0.0749
144m:ch6m 1 0.195 NOT 5 0.0639 NOT 0.103
144m:l1m 66 0.000999 MORE 71 0.000999 MORE 0.000999
144m:l2m 30 0.000999 MORE 38 0.000999 MORE 0.000999
144m:l3m 26 0.000999 MORE 32 0.000999 MORE 0.000999
144m:l4m 56 0.000999 MORE 62 0.000999 MORE 0.000999
144m:l5m 28 0.000999 MORE 35 0.000999 MORE 0.000999
144m:r10m 3 0.0619 NOT 11 0.015 MORE 0.038
144m:r4m 8 0.004 MORE 13 0.002 MORE 0.03
144m:r5m 27 0.000999 MORE 34 0.000999 MORE 0.000999
144m:r8m 9 0.003 MORE 14 0.003 MORE 0.002
144m:r9m 1 0.179 NOT 2 0.196 NOT 0.108
145f:153f 35 0.000999 MORE 41 0.000999 MORE 0.000999
145f:154f 25 0.000999 MORE 40 0.000999 MORE 0.000999
145f:159f 115 0.000999 MORE 117 0.000999 MORE 0.000999
145f:165f 43 0.000999 MORE 50 0.000999 MORE 0.000999
145f:171f 116 0.000999 MORE 118 0.000999 MORE 0.000999
145f:177f 30 0.000999 MORE 41 0.000999 MORE 0.000999
145f:183f 96 0.000999 MORE 97 0.000999 MORE 0.000999
145f:189f 29 0.000999 MORE 36 0.000999 MORE 0.000999
145f:4371f 17 0.000999 MORE 26 0.000999 MORE 0.002
145f:4374f 16 0.002 MORE 21 0.002 MORE 0.000999
145f:48f 36 0.000999 MORE 41 0.000999 MORE 0.000999
145f:51f 18 0.000999 MORE 28 0.000999 MORE 0.000999
145f:96f 21 0.000999 MORE 25 0.000999 MORE 0.000999
145f:99f 11 0.003 MORE 20 0.000999 MORE 0.015
145f:a13f 40 0.000999 MORE 46 0.000999 MORE 0.000999
145f:a1f 45 0.000999 MORE 54 0.000999 MORE 0.000999
145f:a21f 29 0.000999 MORE 36 0.000999 MORE 0.000999
145f:a22f 37 0.000999 MORE 42 0.000999 MORE 0.000999
145f:a27f 53 0.000999 MORE 63 0.000999 MORE 0.000999
145f:a28f 73 0.000999 MORE 74 0.000999 MORE 0.000999
145f:a29f 37 0.000999 MORE 41 0.000999 MORE 0.000999
145f:a30f 46 0.000999 MORE 52 0.000999 MORE 0.000999
145f:a7f 9 0.003 MORE 24 0.000999 MORE 0.034
145f:a8f 65 0.000999 MORE 72 0.000999 MORE 0.000999
145f:a9f 34 0.000999 MORE 41 0.000999 MORE 0.000999
145f:ADr1uf 4 0.035 MORE 10 0.012 MORE 0.003
145f:bm1f 36 0.000999 MORE 47 0.000999 MORE 0.000999
145f:bm2f 4 0.038 MORE 7 0.034 MORE 0.0949
145f:bm4f 13 0.000999 MORE 26 0.000999 MORE 0.012
145f:bm5f 12 0.002 MORE 16 0.00599 MORE 0.00599
145f:bm6f 5 0.014 MORE 10 0.00699 MORE 0.002
145f:bm7f 13 0.000999 MORE 14 0.004 MORE 0.002
145f:bm8f 6 0.016 MORE 10 0.012 MORE 0.015
145f:ch1f 22 0.000999 MORE 33 0.000999 MORE 0.000999
145f:ch4f 2 0.0749 NOT 6 0.036 MORE 0.111
145f:ch5f 0 1 NOT 4 0.0809 NOT 0.287
145f:ch6f 9 0.002 MORE 12 0.00599 MORE 0.044
145f:l1f 72 0.000999 MORE 77 0.000999 MORE 0.000999
145f:l2f 38 0.000999 MORE 47 0.000999 MORE 0.000999
145f:l3f 46 0.000999 MORE 55 0.000999 MORE 0.000999
145f:l4f 67 0.000999 MORE 70 0.000999 MORE 0.000999
145f:l5f 49 0.000999 MORE 58 0.000999 MORE 0.000999
145f:r10f 15 0.000999 MORE 19 0.002 MORE 0.003
145f:r4f 34 0.000999 MORE 35 0.000999 MORE 0.000999
145f:r5f 34 0.000999 MORE 44 0.000999 MORE 0.000999
145f:r8f 19 0.000999 MORE 38 0.000999 MORE 0.000999
145f:r9f 4 0.03 MORE 14 0.005 MORE 0.161
151m:157m 53 0.000999 MORE 57 0.000999 MORE 0.000999
151m:163m 74 0.000999 MORE 75 0.000999 MORE 0.000999
151m:169m 67 0.000999 MORE 76 0.000999 MORE 0.000999
151m:175m 98 0.000999 MORE 102 0.000999 MORE 0.000999
151m:181m 107 0.000999 MORE 108 0.000999 MORE 0.000999
151m:187m 109 0.000999 MORE 113 0.000999 MORE 0.000999
151m:4370m 1 0.2 NOT 3 0.137 NOT 0.04
151m:4373m 0 1 NOT 0 1 NOT 0.541
151m:49m 0 1 NOT 1 0.36 NOT 0.208
151m:52m 0 1 NOT 0 1 NOT 0.455
151m:97m 6 0.016 MORE 10 0.014 MORE 0.00899
151m:a13m 5 0.016 MORE 7 0.027 MORE 0.045
151m:a1m 2 0.0879 NOT 5 0.046 MORE 0.112
151m:a21m 3 0.047 MORE 8 0.019 MORE 0.0929
151m:a22m 1 0.178 NOT 1 0.328 NOT 0.155
151m:a27m 3 0.0789 NOT 8 0.047 MORE 0.106
151m:a28m 13 0.174 NOT 21 0.175 NOT 0.175
151m:a29m 3 0.041 MORE 9 0.011 MORE 0.036
151m:a30m 5 0.015 MORE 8 0.015 MORE 0.00999
151m:a7m 1 0.194 NOT 4 0.102 NOT 0.105
151m:a8m 3 0.045 MORE 8 0.025 MORE 0.106
151m:a9m 0 1 NOT 0 1 NOT 0.459
151m:ADr1um 2 0.0869 NOT 4 0.0809 NOT 0.017
